California Department of Finance,,,,,,,,,,,,,,,,Census 2010,
Demographic Research Unit,,,,,,,,,,,,,,,,Demographic Profile Summary File,
State Census Data Center,,,,,,,,,,,,,,,,Generated on 8/25/2011,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,
"Table 1:  Population, Age and Sex Characteristics,  April 1, 2010",,,,,,,,,,,,,,,,,
Zip Code Tabulation Areas in California,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geography,Total population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size,Average Family size,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,
ZCTA5 92108,"18,858","9,446","9,412",30.6,31.3,29.9,1.78,2.44,810,"1,499","16,598","2,607","1,895","1,358",49.9%,7.9%,
ZCTA5 92109,"45,787","24,648","21,139",30.6,31,30,1.93,2.63,"1,457","4,026","40,568","8,021","6,266","4,485",46.2%,8.8%,
ZCTA5 92110,"25,341","12,715","12,626",33.6,34.1,33.1,2.12,2.86,"1,450","3,820","19,161","6,033","4,658","3,314",49.8%,15.1%,
ZCTA5 92111,"45,096","22,275","22,821",35.6,34.2,37.1,2.70,3.27,"2,842","9,856","33,433","10,542","8,003","5,785",50.6%,21.9%,
ZCTA5 92113,"56,066","30,009","26,057",25.2,24.3,26.9,4.00,4.28,"4,725","17,188","34,610","6,464","4,541","3,117",46.5%,30.7%,
ZCTA5 92114,"65,433","32,091","33,342",33.7,31.9,35.6,3.78,4.03,"4,428","17,793","44,279","14,589","10,369","7,082",51.0%,27.2%,
ZCTA5 92115,"58,560","29,075","29,485",28,27.8,28.3,2.61,3.22,"3,854","11,625","39,923","9,764","7,111","5,013",50.4%,19.9%,
ZCTA5 92116,"31,680","15,980","15,700",36,36.6,35.4,1.96,2.78,"1,663","4,632","26,351","6,126","4,066","2,484",49.6%,14.6%,
ZCTA5 92117,"51,332","25,877","25,455",38.7,36.9,40.4,2.48,3,"2,768","9,200","40,375","13,441","10,113","7,558",49.6%,17.9%,
ZCTA5 92118,"23,575","13,532","10,043",32.7,28,41.3,2.31,2.89,898,"3,859","18,268","5,867","4,642","3,479",42.6%,16.4%,
ZCTA5 92119,"23,057","11,041","12,016",43,40.9,45.1,2.41,2.94,"1,156","4,520","17,765","7,505","5,982","4,560",52.1%,19.6%,
ZCTA5 92120,"26,317","12,686","13,631",42.9,41.3,44.4,2.39,2.87,"1,311","4,673","20,700","8,678","6,892","5,290",51.8%,17.8%,
ZCTA5 92121,"4,179","2,182","1,997",30.2,29.5,31.1,2.49,2.9,229,642,"3,305",544,368,241,47.8%,15.4%,
ZCTA5 92122,"43,728","21,619","22,109",30.7,30.2,31.2,2.20,2.69,"1,968","5,197","35,988","9,111","7,292","5,526",50.6%,11.9%,
ZCTA5 92123,"26,823","13,237","13,586",32.6,31.5,33.7,2.57,3.07,"2,176","6,052","19,788","5,518","4,116","3,092",50.7%,22.6%,
ZCTA5 92124,"30,443","14,945","15,498",30.4,29.6,31.2,2.76,3.27,"2,948","8,961","20,628","5,501","4,060","2,482",50.9%,29.4%,
ZCTA5 92126,"73,343","38,728","34,615",33.3,31.1,35.9,3.04,3.42,"4,780","15,297","54,375","14,489","10,203","6,515",47.2%,20.9%,
ZCTA5 92127,"39,337","19,303","20,034",35.2,34.3,35.9,2.99,3.35,"3,439","11,968","26,368","6,412","4,470","2,973",50.9%,30.4%,
ZCTA5 92128,"47,490","22,379","25,111",42.3,40.5,44.1,2.33,2.91,"2,797","9,990","36,419","14,981","12,018","9,174",52.9%,21.0%,
ZCTA5 92129,"51,536","25,509","26,027",38,36.8,39.1,3.03,3.3,"3,259","13,802","35,935","10,530","6,803","4,047",50.5%,26.8%,
ZCTA5 92130,"48,940","23,932","25,008",37.6,37.2,38,2.79,3.25,"3,431","14,938","32,870","7,736","4,802","2,925",51.1%,30.5%,
ZCTA5 92131,"32,787","16,089","16,698",38.7,38.4,39.1,2.83,3.17,"2,329","9,111","22,871","6,750","4,527","2,594",50.9%,27.8%,
ZCTA5 92132,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
ZCTA5 92134,198,161,37,23.1,23.3,22.5,1.00,0,0,0,142,13,13,11,18.7%,0.0%,
ZCTA5 92135,571,502,69,22,22.2,20.9,,0,0,0,365,0,0,0,12.1%,0.0%,
ZCTA5 92139,"35,125","16,905","18,220",32.8,31,34.6,3.40,3.68,"2,613","9,325","24,212","7,414","5,312","3,622",51.9%,26.5%,
ZCTA5 92140,"3,435","3,407",28,20,20,21.7,2.71,2.71,0,34,"1,063",6,4,2,0.8%,1.0%,
ZCTA5 92145,"1,449",713,736,31.4,31.2,31.7,3.72,3.77,163,524,889,160,93,50,50.8%,36.2%,
ZCTA5 92147,559,455,104,22.4,22.9,21,2.00,2,0,1,344,0,0,0,18.6%,0.2%,
ZCTA5 92154,"79,708","41,254","38,454",32.9,31.8,34.2,3.68,3.93,"5,293","20,785","54,514","15,401","11,229","7,858",48.2%,26.1%,
ZCTA5 92155,550,508,42,23.5,23.7,21.8,,0,0,0,408,1,0,0,7.6%,0.0%,
ZCTA5 92173,"29,429","13,906","15,523",29.2,26.4,31.8,3.88,4.15,"2,246","9,300","18,306","5,124","3,741","2,688",52.7%,31.6%,
ZCTA5 92201,"61,827","30,567","31,260",30.8,29.6,32,3.34,3.73,"5,331","19,385","39,512","12,159","9,317","6,716",50.6%,31.4%,
ZCTA5 92203,"25,605","12,597","13,008",36.5,35.8,37.3,2.77,3.19,"1,978","6,535","18,257","7,182","5,794","4,128",50.8%,25.5%,
ZCTA5 92210,"4,677","2,132","2,545",67.1,68.2,66.4,1.80,2.22,51,283,"4,362","3,608","3,193","2,621",54.4%,6.1%,
ZCTA5 92211,"24,294","11,257","13,037",63.8,64,63.7,1.94,2.38,661,"2,540","21,328","15,299","13,787","11,571",53.7%,10.5%,
ZCTA5 92220,"31,638","15,295","16,343",42.2,38.7,45.6,2.61,3.19,"1,969","7,293","23,034","11,455","9,733","7,952",51.7%,23.1%,
ZCTA5 92222,45,26,19,36.3,35,36.8,2.65,3,2,14,31,16,15,10,42.2%,31.1%,
ZCTA5 92223,"43,605","21,206","22,399",34.5,33.7,35.3,2.96,3.36,"3,630","12,290","29,730","10,642","8,176","5,772",51.4%,28.2%,
ZCTA5 92225,"24,310","16,065","8,245",37.9,39.2,33.4,2.86,3.4,"1,405","5,196","18,294","4,690","3,386","2,290",33.9%,21.4%,
ZCTA5 92227,"26,234","12,808","13,426",30.5,29.3,31.8,3.24,3.67,"2,449","8,438","16,456","5,273","3,817","2,686",51.2%,32.2%,
ZCTA5 92230,"2,550","1,279","1,271",31.4,30.3,32.9,3.19,3.67,251,802,"1,629",504,329,214,49.8%,31.5%,
ZCTA5 92231,"39,073","18,512","20,561",31.9,29.3,34.1,3.80,4.09,"3,010","12,122","24,839","8,232","6,132","4,477",52.6%,31.0%,
ZCTA5 92233,"8,099","6,116","1,983",33,33.2,30.7,3.46,3.88,346,"1,347","6,479",899,621,421,24.5%,16.6%,
ZCTA5 92234,"51,151","26,308","24,843",36,36.1,35.9,2.99,3.67,"3,546","13,853","35,054","12,493","9,842","7,342",48.6%,27.1%,
ZCTA5 92236,"41,083","20,488","20,595",24.6,24,25.1,4.51,4.56,"4,521","15,912","22,857","4,092","2,781","1,860",50.1%,38.7%,
ZCTA5 92239,223,117,106,47.7,47.3,48.5,2.34,3.09,16,43,175,88,78,49,47.5%,19.3%,
ZCTA5 92240,"34,722","17,428","17,294",31.7,30.9,32.4,3.01,3.6,"3,034","10,595","22,483","6,958","5,214","3,745",49.8%,30.5%,
ZCTA5 92241,"8,803","4,457","4,346",51.7,50.1,53.6,2.27,2.95,444,"1,592","6,991","4,045","3,444","2,801",49.4%,18.1%,
ZCTA5 92242,"1,539",779,760,57.3,57.3,57.4,2.00,2.53,38,208,"1,292",821,713,579,49.4%,13.5%,
ZCTA5 92243,"48,030","23,812","24,218",32.1,30.2,34.2,3.18,3.63,"3,669","13,985","31,560","10,016","7,336","5,127",50.4%,29.1%,
ZCTA5 92249,"7,334","3,512","3,822",27.6,26.4,28.3,3.95,4.1,748,"2,606","4,392","1,053",795,559,52.1%,35.5%,
ZCTA5 92250,"8,285","4,078","4,207",34.3,33.7,34.8,3.22,3.63,591,"2,435","5,424","2,034","1,481","1,044",50.8%,29.4%,
ZCTA5 92251,"21,583","12,891","8,692",31.6,31.7,31.3,3.33,3.67,"1,408","5,539","15,032","2,809","1,836","1,221",40.3%,25.7%,
ZCTA5 92252,"9,647","4,836","4,811",40.7,39.4,42.1,2.33,2.94,639,"2,002","7,234","2,931","2,181","1,555",49.9%,20.8%,
ZCTA5 92253,"37,262","18,000","19,262",45.6,44.6,46.5,2.53,2.93,"1,773","8,163","27,862","13,552","10,908","7,770",51.7%,21.9%,
ZCTA5 92254,"12,768","6,702","6,066",23.7,23.7,23.7,4.58,4.7,"1,491","5,023","7,035","1,246",810,522,47.5%,39.3%,
ZCTA5 92256,"3,588","1,846","1,742",47.3,46.8,47.9,2.21,2.86,200,646,"2,822","1,225",856,554,48.6%,18.0%,
ZCTA5 92257,"2,326","1,183","1,143",53.5,52.8,54.2,2.10,2.84,110,387,"1,873","1,101",925,738,49.1%,16.6%,
ZCTA5 92258,861,471,390,31,30.7,31.5,3.24,3.8,77,251,565,142,106,72,45.3%,29.2%,
ZCTA5 92259,390,213,177,55.7,55.8,55.6,1.93,2.63,16,59,322,201,153,104,45.4%,15.1%,
ZCTA5 92260,"31,753","14,920","16,833",52.3,50,54.3,2.09,2.7,"1,375","5,061","25,747","14,828","12,764","10,371",53.0%,15.9%,
ZCTA5 92262,"26,179","14,506","11,673",47.8,48.3,46.9,2.06,2.97,"1,225","4,472","20,986","9,715","7,541","5,438",44.6%,17.1%,
ZCTA5 92264,"19,383","11,143","8,240",56.3,55.4,58,1.80,2.63,565,"1,886","17,129","10,202","8,399","6,544",42.5%,9.7%,
ZCTA5 92266,234,134,100,54.8,55.8,52.5,1.97,2.82,8,31,191,115,85,71,42.7%,13.2%,
ZCTA5 92267,126,63,63,60,61.8,57.5,1.97,2.33,2,13,111,78,63,48,50.0%,10.3%,
ZCTA5 92268,574,294,280,56.4,57,55.5,1.95,2.51,7,58,506,311,228,142,48.8%,10.1%,
ZCTA5 92270,"17,220","8,510","8,710",62.3,61.7,62.7,1.94,2.46,423,"1,828","15,150","10,836","9,382","7,582",50.6%,10.6%,
ZCTA5 92273,"1,823",887,936,28.4,26.6,30.2,3.53,3.85,174,600,"1,131",340,233,180,51.3%,32.9%,
ZCTA5 92274,"19,801","10,482","9,319",25.5,25.4,25.8,4.01,4.33,"2,268","7,382","11,429","2,624","1,890","1,272",47.1%,37.3%,
ZCTA5 92275,"1,506",749,757,38.5,38.4,38.5,2.69,3.41,104,422,"1,034",433,337,261,50.3%,28.0%,
ZCTA5 92276,"7,585","3,799","3,786",42.7,39.9,45.1,2.72,3.29,435,"1,751","5,530","2,732","2,313","1,860",49.9%,23.1%,
ZCTA5 92277,"23,911","12,070","11,841",25.9,25.8,26.1,2.59,3.07,"2,812","6,664","15,846","3,914","2,871","1,992",49.5%,27.9%,
ZCTA5 92278,"3,846","3,494",352,21.6,21.6,21.3,3.67,3.65,77,218,"2,312",5,3,1,9.2%,5.7%,
ZCTA5 92280,14,2,12,64,28,65.5,1.27,2,0,1,13,8,8,7,85.7%,7.1%,
ZCTA5 92281,"2,432","1,138","1,294",29.7,29,30.4,3.51,3.81,245,828,"1,486",510,372,283,53.2%,34.0%,
ZCTA5 92282,"1,239",664,575,41.2,41.4,40.9,2.59,3.21,91,284,911,318,230,154,46.4%,22.9%,
ZCTA5 92283,"3,158","1,531","1,627",34,34.8,33.6,2.81,3.52,281,975,"2,037",843,679,457,51.5%,30.9%,
ZCTA5 92284,"25,095","12,324","12,771",41.2,39.9,42.7,2.47,3.03,"1,577","5,892","18,292","7,842","6,117","4,536",50.9%,23.5%,
ZCTA5 92285,"2,632","1,388","1,244",51.3,51.8,50.8,2.11,2.82,104,440,"2,126","1,119",887,635,47.3%,16.7%,
ZCTA5 92301,"32,725","16,857","15,868",25.6,25.3,26,3.81,4.09,"3,335","12,045","18,785","3,654","2,456","1,547",48.5%,36.8%,
ZCTA5 92304,17,13,4,46.5,46.5,47.5,1.71,2.33,0,0,16,5,3,2,23.5%,0.0%,
ZCTA5 92305,535,264,271,48.2,48.5,47.9,2.29,2.88,29,93,418,185,129,80,50.7%,17.4%,
ZCTA5 92307,"37,630","18,650","18,980",37.2,35.3,39.1,2.94,3.29,"2,489","10,350","25,563","9,783","7,309","5,263",50.4%,27.5%,
ZCTA5 92308,"39,837","19,416","20,421",38.1,35.9,40,2.85,3.32,"2,808","10,972","27,104","11,451","8,935","6,600",51.3%,27.5%,
ZCTA5 92309,763,410,353,26.5,25.2,27.8,3.34,3.73,87,285,436,77,51,25,46.3%,37.4%,
ZCTA5 92310,"8,845","5,034","3,811",23.9,24.2,23.3,3.17,3.41,"1,298","2,992","5,405",58,35,14,43.1%,33.8%,
ZCTA5 92311,"31,894","16,007","15,887",32.2,31,33.5,2.80,3.33,"2,774","9,339","21,031","6,889","5,035","3,529",49.8%,29.3%,
ZCTA5 92313,"12,025","5,793","6,232",36.1,34.3,37.9,2.71,3.2,751,"2,777","8,761","2,952","2,139","1,498",51.8%,23.1%,
ZCTA5 92314,"10,162","5,138","5,024",43.2,42.1,44.4,2.48,2.96,608,"2,363","7,437","3,145","2,227","1,464",49.4%,23.3%,
ZCTA5 92315,"5,094","2,615","2,479",46.3,44.3,48.2,2.28,2.82,249,"1,001","3,894","1,825","1,438","1,049",48.7%,19.7%,
ZCTA5 92316,"30,830","15,538","15,292",28.3,27.4,29,4.30,4.49,"2,521","10,100","18,851","4,519","3,069","2,020",49.6%,32.8%,
ZCTA5 92320,"7,788","3,734","4,054",48.9,46.9,50.9,2.36,2.94,350,"1,392","6,138","3,145","2,583","2,038",52.1%,17.9%,
ZCTA5 92321,"1,522",803,719,37.5,35.7,40.2,2.72,3.27,115,374,"1,077",403,280,189,47.2%,24.6%,
ZCTA5 92322,"1,257",636,621,45.2,45.2,45.1,2.45,2.96,70,276,931,396,264,180,49.4%,22.0%,
ZCTA5 92324,"56,505","27,716","28,789",28.7,28,29.4,3.47,3.86,"5,196","17,899","35,667","8,828","6,072","4,119",50.9%,31.7%,
ZCTA5 92325,"9,391","4,772","4,619",43,42.8,43.3,2.47,2.98,516,"2,072","6,952","2,731","1,863","1,106",49.2%,22.1%,
ZCTA5 92327,632,336,296,44.9,45,44.9,2.32,2.95,25,134,475,204,138,97,46.8%,21.2%,
ZCTA5 92328,445,261,184,47.9,48.9,44.6,1.54,2.23,9,23,407,150,100,45,41.3%,5.2%,
ZCTA5 92332,65,47,18,51.5,47.5,53.5,1.81,2.91,1,12,52,26,17,9,27.7%,18.5%,
ZCTA5 92333,472,235,237,54.6,55,53.5,2.01,2.49,17,62,402,231,186,129,50.2%,13.1%,
ZCTA5 92335,"95,397","47,699","47,698",26.9,26.2,27.6,4.18,4.42,"9,100","32,779","57,059","12,592","8,588","5,886",50.0%,34.4%,
ZCTA5 92336,"88,419","43,786","44,633",30.1,29.1,31,3.97,4.1,"6,994","28,320","55,332","11,785","7,559","4,582",50.5%,32.0%,
ZCTA5 92337,"37,849","18,966","18,883",28.8,27.8,29.6,4.05,4.21,"3,061","12,405","23,300","4,466","2,895","1,783",49.9%,32.8%,
ZCTA5 92338,12,5,7,49,52.5,28.5,2.40,3.5,0,3,9,3,3,2,58.3%,25.0%,
ZCTA5 92339,885,445,440,45,45.1,44.8,2.28,2.75,43,170,691,258,172,83,49.7%,19.2%,
ZCTA5 92341,410,225,185,48.9,48.9,48.9,2.32,2.67,14,68,326,151,110,64,45.1%,16.6%,
ZCTA5 92342,"6,379","3,189","3,190",45.7,45.1,46.3,2.53,2.93,380,"1,422","4,755","2,344","1,880","1,379",50.0%,22.3%,
ZCTA5 92344,"20,769","10,329","10,440",30.9,30.3,31.4,3.60,3.83,"1,618","6,932","12,836","3,309","2,223","1,388",50.3%,33.4%,
ZCTA5 92345,"78,715","39,118","39,597",31.2,30,32.4,3.34,3.7,"6,515","24,737","49,902","15,418","11,164","7,689",50.3%,31.4%,
ZCTA5 92346,"54,923","26,943","27,980",34.5,33.6,35.4,3.15,3.54,"3,946","15,478","36,833","11,528","8,234","5,552",50.9%,28.2%,
ZCTA5 92347,"1,692",857,835,38.9,38.9,38.9,2.88,3.42,124,474,"1,151",437,331,238,49.3%,28.0%,
ZCTA5 92352,"8,004","4,036","3,968",45.6,45.6,45.6,2.60,2.97,377,"1,861","5,872","2,674","1,938","1,251",49.6%,23.3%,
ZCTA5 92354,"21,559","10,100","11,459",34.1,32.4,35.7,2.66,3.24,"1,380","4,516","16,255","5,375","4,256","3,158",53.2%,20.9%,
ZCTA5 92356,"6,455","3,356","3,099",43.5,43.4,43.6,2.59,3.26,349,"1,543","4,675","1,981","1,480","1,072",48.0%,23.9%,
ZCTA5 92358,707,366,341,52.1,51.6,52.9,2.09,2.68,22,102,590,305,218,141,48.2%,14.4%,
ZCTA5 92359,"8,103","4,017","4,086",34.5,33.3,35.6,2.83,3.29,541,"2,120","5,605","1,656","1,145",771,50.4%,26.2%,
ZCTA5 92363,"5,321","2,683","2,638",40,37.3,42,2.48,3.08,414,"1,381","3,728","1,599","1,226",863,49.6%,26.0%,
ZCTA5 92364,90,47,43,43.3,43.8,38.5,2.37,3.14,6,20,66,34,22,13,47.8%,22.2%,
ZCTA5 92365,"2,637","1,339","1,298",45.2,45.2,45.2,2.61,3.18,124,579,"1,939",882,660,442,49.2%,22.0%,
ZCTA5 92368,"1,113",592,521,33.1,34.6,32.3,3.21,3.79,87,350,708,264,192,140,46.8%,31.4%,
ZCTA5 92371,"16,763","8,565","8,198",37.9,37.2,38.5,3.11,3.49,"1,000","4,574","11,336","3,843","2,694","1,813",48.9%,27.3%,
ZCTA5 92372,"6,220","3,136","3,084",41.8,41.5,42,2.83,3.27,368,"1,537","4,412","1,714","1,204",802,49.6%,24.7%,
ZCTA5 92373,"33,423","15,762","17,661",39.7,38.5,40.7,2.36,2.95,"1,922","7,046","25,264","9,699","7,330","5,265",52.8%,21.1%,
ZCTA5 92374,"40,267","19,353","20,914",32.7,30.9,34.4,2.98,3.43,"2,591","10,382","27,023","8,536","6,103","4,182",51.9%,25.8%,
ZCTA5 92376,"81,516","39,551","41,965",27.6,26.5,28.7,3.95,4.25,"7,441","27,533","49,230","12,127","8,542","5,695",51.5%,33.8%,
ZCTA5 92377,"19,989","9,894","10,095",32.6,31.4,33.8,3.73,3.93,"1,391","5,822","13,057","3,658","2,510","1,577",50.5%,29.1%,
ZCTA5 92378,183,89,94,38.5,41.3,36.5,2.73,3.04,12,47,128,60,39,14,51.4%,25.7%,
ZCTA5 92382,"5,268","2,710","2,558",41.9,41.8,42,2.50,2.98,300,"1,192","3,867","1,457",950,596,48.6%,22.6%,
ZCTA5 92384,36,18,18,46,46,46,1.71,2.43,1,3,33,12,9,7,50.0%,8.3%,
ZCTA5 92385,313,150,163,50.1,51,49.1,2.37,2.81,12,60,240,126,97,48,52.1%,19.2%,
ZCTA5 92386,"2,270","1,163","1,107",41.7,40.3,43.2,2.33,2.87,151,527,"1,640",641,447,315,48.8%,23.2%,
ZCTA5 92389,156,89,67,56.7,56.8,55.9,1.66,2.63,4,20,133,87,66,50,42.9%,12.8%,
ZCTA5 92391,"2,534","1,317","1,217",35.8,33.8,37.4,2.77,3.36,181,729,"1,698",558,367,249,48.0%,28.8%,
ZCTA5 92392,"54,858","26,839","28,019",29.4,28.4,30.5,3.52,3.8,"4,610","18,429","33,688","8,764","6,122","4,162",51.1%,33.6%,
ZCTA5 92394,"33,237","18,149","15,088",29.8,30.7,28.4,3.62,3.9,"2,857","10,590","21,179","4,001","2,732","1,788",45.4%,31.9%,
ZCTA5 92395,"42,400","20,290","22,110",31.7,30.2,33.3,2.99,3.47,"3,700","12,743","27,614","9,430","7,285","5,492",52.1%,30.1%,
ZCTA5 92397,"4,894","2,522","2,372",44.1,44,44.2,2.45,2.92,279,"1,134","3,592","1,492","1,046",660,48.5%,23.2%,
ZCTA5 92398,"1,379",707,672,40.3,39.5,41.1,2.65,3.15,90,347,983,388,285,179,48.7%,25.2%,
ZCTA5 92399,"52,606","25,954","26,652",38.1,36.4,39.5,2.79,3.28,"3,410","13,664","36,816","13,333","9,796","6,995",50.7%,26.0%,
ZCTA5 92401,"1,932",953,979,27,25.9,28,2.84,3.74,232,643,"1,171",313,249,196,50.7%,33.3%,
ZCTA5 92404,"58,271","28,141","30,130",29.1,27.7,30.4,3.30,3.78,"5,576","18,831","36,291","10,654","7,834","5,528",51.7%,32.3%,
ZCTA5 92405,"28,873","14,249","14,624",28.5,27.6,29.5,3.37,3.86,"2,812","9,525","17,764","4,334","2,972","1,979",50.6%,33.0%,
ZCTA5 92407,"56,689","28,105","28,584",27.5,27,28,3.49,3.89,"4,785","17,076","35,448","7,675","5,148","3,211",50.4%,30.1%,
ZCTA5 92408,"15,271","8,413","6,858",30.2,30.4,29.9,3.41,3.95,"1,302","4,287","10,162","2,201","1,498","1,034",44.9%,28.1%,
ZCTA5 92410,"49,410","24,251","25,159",25.5,24.6,26.2,3.79,4.16,"5,274","18,210","28,464","6,362","4,524","3,126",50.9%,36.9%,
ZCTA5 92411,"26,214","12,803","13,411",26.7,25.4,27.7,3.98,4.36,"2,640","9,336","15,375","4,215","3,089","2,229",51.2%,35.6%,
ZCTA5 92501,"20,970","10,789","10,181",31.4,31.1,31.8,2.99,3.64,"1,596","5,418","14,468","3,420","2,411","1,678",48.6%,25.8%,
ZCTA5 92503,"84,519","42,058","42,461",30.8,29.7,32.1,3.57,3.93,"6,906","25,652","54,597","14,403","10,151","6,712",50.2%,30.4%,
ZCTA5 92504,"53,778","26,232","27,546",32.4,30.7,34.2,3.14,3.64,"3,698","13,955","36,120","11,556","8,588","6,121",51.2%,25.9%,
ZCTA5 92505,"47,672","23,563","24,109",29.8,29.1,30.5,3.40,3.81,"3,768","13,717","31,098","7,755","5,516","3,815",50.6%,28.8%,
ZCTA5 92506,"44,001","21,413","22,588",40.4,38.5,42.1,2.82,3.2,"2,417","10,115","31,876","12,142","8,754","5,908",51.3%,23.0%,
ZCTA5 92507,"58,002","28,739","29,263",24.2,24.1,24.3,2.88,3.57,"3,850","12,500","35,566","7,636","5,321","3,622",50.5%,21.6%,
ZCTA5 92508,"35,000","17,320","17,680",33,31.5,34.2,3.51,3.74,"2,290","10,872","22,352","5,215","3,398","2,132",50.5%,31.1%,
ZCTA5 92509,"75,196","37,947","37,249",29.9,29.2,30.6,3.87,4.15,"6,144","23,417","47,646","12,605","8,664","5,796",49.5%,31.1%,
ZCTA5 92518,"1,162",599,563,62.9,57,76.5,1.80,2.55,43,156,987,677,608,567,48.5%,13.4%,
ZCTA5 92530,"50,216","25,354","24,862",30.2,29.7,30.9,3.39,3.76,"4,232","15,742","31,997","7,622","5,100","3,269",49.5%,31.3%,
ZCTA5 92532,"18,644","9,289","9,355",31.1,30.7,31.4,3.41,3.69,"1,762","6,015","11,907","2,603","1,744","1,095",50.2%,32.3%,
ZCTA5 92536,"3,810","1,964","1,846",48.4,48.6,48.3,2.52,2.96,151,745,"2,944","1,397","1,069",798,48.5%,19.6%,
ZCTA5 92539,"4,734","2,393","2,341",46.1,46.4,45.7,2.52,3.07,244,"1,030","3,537","1,582","1,172",818,49.5%,21.8%,
ZCTA5 92543,"33,555","15,679","17,876",37,34.4,39.2,2.58,3.3,"2,630","9,016","23,112","10,039","8,333","6,577",53.3%,26.9%,
ZCTA5 92544,"44,734","21,850","22,884",37.1,35.8,38.2,2.91,3.35,"2,989","12,088","30,569","11,637","8,901","6,646",51.2%,27.0%,
ZCTA5 92545,"39,457","18,762","20,695",41.9,39.2,44.9,2.57,3.18,"2,545","9,632","28,414","14,492","12,496","10,080",52.4%,24.4%,
ZCTA5 92548,"6,643","3,363","3,280",36.4,33.9,38.7,3.05,3.62,474,"1,822","4,519","1,873","1,510","1,141",49.4%,27.4%,
ZCTA5 92549,"3,926","1,955","1,971",49.9,49.8,50.1,2.10,2.62,164,747,"3,025","1,570","1,161",786,50.2%,19.0%,
ZCTA5 92551,"30,815","14,916","15,899",27.3,26.3,28.2,4.06,4.24,"2,638","10,484","18,516","3,993","2,631","1,672",51.6%,34.0%,
ZCTA5 92553,"73,722","36,130","37,592",26.8,25.7,28,3.87,4.14,"6,978","25,443","44,123","9,577","6,478","4,207",51.0%,34.5%,
ZCTA5 92555,"39,076","19,025","20,051",30.6,29.3,31.9,3.61,3.88,"3,009","11,981","25,131","6,336","4,227","2,694",51.3%,30.7%,
ZCTA5 92557,"50,320","24,491","25,829",30.8,29.3,32.3,3.48,3.75,"3,575","14,723","32,704","8,794","5,813","3,648",51.3%,29.3%,
ZCTA5 92561,"1,661",866,795,53.5,54.6,52.3,2.08,2.64,61,259,"1,374",777,563,366,47.9%,15.6%,
ZCTA5 92562,"62,079","30,267","31,812",35.7,33.7,37.3,3.03,3.42,"3,912","18,058","41,057","12,645","9,474","7,059",51.2%,29.1%,
ZCTA5 92563,"53,892","26,874","27,018",32,30.8,33.2,3.30,3.61,"4,187","16,870","34,620","8,774","6,609","4,785",50.1%,31.3%,
ZCTA5 92567,"9,459","4,730","4,729",33.2,33,33.4,3.58,3.88,706,"2,854","6,140","1,940","1,385",936,50.0%,30.2%,
ZCTA5 92570,"53,697","27,501","26,196",29,28.6,29.5,3.97,4.25,"4,833","17,701","33,033","8,921","6,297","4,299",48.8%,33.0%,
ZCTA5 92571,"52,516","25,943","26,573",25.8,24.8,26.7,4.24,4.36,"5,155","19,478","30,122","5,566","3,710","2,424",50.6%,37.1%,
ZCTA5 92582,"15,649","7,666","7,983",28.5,27.7,29.3,3.80,4.07,"1,472","5,521","9,365","2,248","1,676","1,167",51.0%,35.3%,
ZCTA5 92583,"30,236","14,702","15,534",32.3,30.5,33.9,3.08,3.65,"2,523","9,259","19,531","6,757","5,231","3,903",51.4%,30.6%,
ZCTA5 92584,"43,400","21,401","21,999",32.6,31.6,33.5,3.26,3.57,"3,393","13,260","28,270","7,978","6,065","4,442",50.7%,30.6%,
ZCTA5 92585,"17,797","8,845","8,952",32.6,31.2,33.7,3.28,3.7,"1,531","5,330","11,719","3,670","2,790","2,026",50.3%,29.9%,
ZCTA5 92586,"19,815","8,751","11,064",60.6,57.1,62.7,2.05,2.75,740,"2,739","16,580","11,440","10,110","8,408",55.8%,13.8%,
ZCTA5 92587,"16,675","8,356","8,319",38.1,37.3,38.7,2.94,3.25,"1,089","4,355","11,586","4,053","2,949","2,116",49.9%,26.1%,
ZCTA5 92590,"3,660","1,804","1,856",42.2,42,42.3,2.69,3.14,195,887,"2,622","1,040",779,541,50.7%,24.2%,
ZCTA5 92591,"38,272","18,675","19,597",33.5,31.9,35,3.03,3.4,"2,754","11,070","25,540","7,033","5,048","3,505",51.2%,28.9%,
ZCTA5 92592,"72,492","35,736","36,756",34.6,33.8,35.3,3.22,3.5,"4,847","22,539","46,878","12,267","8,410","5,679",50.7%,31.1%,
ZCTA5 92595,"29,851","14,712","15,139",34.9,33.8,35.9,3.20,3.56,"2,098","8,232","20,215","6,232","4,504","3,202",50.7%,27.6%,
ZCTA5 92596,"23,172","11,520","11,652",31.1,30.6,31.7,3.55,3.75,"2,120","7,907","14,398","3,193","2,239","1,410",50.3%,34.1%,
ZCTA5 92602,"22,871","11,143","11,728",33.9,34,33.8,2.72,3.23,"1,879","6,324","16,034","2,722","1,853","1,168",51.3%,27.7%,
